HGNC ID	Approved symbol	NCBI Gene ID	Ensembl gene ID
HGNC:5	A1BG	1	ENSG00000121410
HGNC:37133	A1BG-AS1	503538	ENSG00000268895
HGNC:24086	A1CF	29974	ENSG00000148584
HGNC:6	A1S9T		
HGNC:7	A2M	2	ENSG00000175899
HGNC:27057	A2M-AS1	144571	ENSG00000245105
HGNC:23336	A2ML1	144568	ENSG00000166535
HGNC:41022	A2ML1-AS1		ENSG00000256661
HGNC:41523	A2ML1-AS2		ENSG00000256904
HGNC:8	A2MP1	3	ENSG00000256069
HGNC:9	A2MR		
HGNC:10	A2MRAP		
HGNC:30005	A3GALT2	127550	ENSG00000184389
HGNC:18149	A4GALT	53947	ENSG00000128274
HGNC:17968	A4GNT	51146	ENSG00000118017
HGNC:1	A12M1		
HGNC:2	A12M2		
HGNC:3	A12M3		
HGNC:4	A12M4		
HGNC:11	AA		
HGNC:13666	AAAS	8086	ENSG00000094914
HGNC:12	AABT		
HGNC:13	AAC1		
HGNC:14	AAC2		
HGNC:21298	AACS	65985	ENSG00000081760
HGNC:18226	AACSP1	729522	ENSG00000250420
HGNC:13792	AACT		
HGNC:17	AADAC	13	ENSG00000114771
HGNC:24427	AADACL2	344752	ENSG00000197953
HGNC:50301	AADACL2-AS1	101928142	ENSG00000242908
HGNC:32037	AADACL3	126767	ENSG00000188984
HGNC:32038	AADACL4	343066	ENSG00000204518
HGNC:50305	AADACP1	201651	ENSG00000240602
HGNC:17929	AADAT	51166	ENSG00000109576
HGNC:25662	AAGAB	79719	ENSG00000103591
HGNC:19679	AAK1	22848	ENSG00000115977
HGNC:30205	AAMDC	28971	ENSG00000087884
HGNC:18	AAMP	14	ENSG00000127837
HGNC:19	AANAT	15	ENSG00000129673
HGNC:15886	AAR2	25980	ENSG00000131043
HGNC:33842	AARD	441376	ENSG00000205002
HGNC:20	AARS1	16	ENSG00000090861
HGNC:49894	AARS1P1	106480683	ENSG00000249038
HGNC:21022	AARS2	57505	ENSG00000124608
HGNC:28417	AARSD1	80755	ENSG00000266967
HGNC:54994	AARSD1P1		ENSG00000234969
HGNC:23993	AASDH	132949	ENSG00000157426
HGNC:14235	AASDHPPT	60496	ENSG00000149313
HGNC:17366	AASS	10157	ENSG00000008311
HGNC:51526	AATBC	284837	ENSG00000215458
HGNC:19235	AATF	26574	ENSG00000275700
HGNC:21	AATK	9625	ENSG00000181409
HGNC:22	AAVS1	17	
HGNC:49667	ABALON	103021294	ENSG00000281376
HGNC:23	ABAT	18	ENSG00000183044
HGNC:24	ABC1		
HGNC:25	ABC2		
HGNC:26	ABC3		
HGNC:28	ABC7		
HGNC:27	ABC50		
HGNC:29	ABCA1	19	ENSG00000165029
HGNC:32	ABCA2	20	ENSG00000107331
HGNC:33	ABCA3	21	ENSG00000167972
HGNC:34	ABCA4	24	ENSG00000198691
HGNC:35	ABCA5	23461	ENSG00000154265
HGNC:36	ABCA6	23460	ENSG00000154262
HGNC:37	ABCA7	10347	ENSG00000064687
HGNC:38	ABCA8	10351	ENSG00000141338
HGNC:39	ABCA9	10350	ENSG00000154258
HGNC:39983	ABCA9-AS1		ENSG00000231749
HGNC:30	ABCA10	10349	ENSG00000154263
HGNC:31	ABCA11P	79963	ENSG00000251595
HGNC:14637	ABCA12	26154	ENSG00000144452
HGNC:14638	ABCA13	154664	ENSG00000179869
HGNC:32972	ABCA17P	650655	ENSG00000238098
HGNC:40	ABCB1	5243	ENSG00000085563
HGNC:11563	ABCB2		
HGNC:11564	ABCB3		
HGNC:45	ABCB4	5244	ENSG00000005471
HGNC:46	ABCB5	340273	ENSG00000004846
HGNC:47	ABCB6	10058	ENSG00000115657
HGNC:48	ABCB7	22	ENSG00000131269
HGNC:49	ABCB8	11194	ENSG00000197150
HGNC:50	ABCB9	23457	ENSG00000150967
HGNC:41	ABCB10	23456	ENSG00000135776
HGNC:14114	ABCB10P1	56476	ENSG00000274099
HGNC:31128	ABCB10P2		
HGNC:31129	ABCB10P3	728248	ENSG00000261524
HGNC:31130	ABCB10P4	100132289	ENSG00000260053
HGNC:42	ABCB11	8647	ENSG00000073734
HGNC:51	ABCC1	4363	ENSG00000103222
HGNC:53	ABCC2	1244	ENSG00000023839
HGNC:54	ABCC3	8714	ENSG00000108846
HGNC:55	ABCC4	10257	ENSG00000125257
HGNC:56	ABCC5	10057	ENSG00000114770
HGNC:40055	ABCC5-AS1		ENSG00000223882
HGNC:57	ABCC6	368	ENSG00000091262
HGNC:33352	ABCC6P1	653190	ENSG00000256340
HGNC:33353	ABCC6P2	730013	ENSG00000255277
HGNC:58	ABCC7		
HGNC:59	ABCC8	6833	ENSG00000006071
HGNC:60	ABCC9	10060	ENSG00000069431
HGNC:52	ABCC10	89845	ENSG00000124574
HGNC:14639	ABCC11	85320	ENSG00000121270
HGNC:14640	ABCC12	94160	ENSG00000140798
HGNC:16022	ABCC13	150000	ENSG00000243064
HGNC:61	ABCD1	215	ENSG00000101986
HGNC:62	ABCD1P1	23785	
HGNC:63	ABCD1P2	26983	ENSG00000215151
HGNC:64	ABCD1P3	26982	ENSG00000261233
HGNC:65	ABCD1P4	26957	ENSG00000225293
HGNC:42662	ABCD1P5	642762	ENSG00000214330
HGNC:66	ABCD2	225	ENSG00000173208
HGNC:67	ABCD3	5825	ENSG00000117528
HGNC:68	ABCD4	5826	ENSG00000119688
HGNC:69	ABCE1	6059	ENSG00000164163
HGNC:70	ABCF1	23	ENSG00000204574
HGNC:53628	ABCF1-DT	107986587	
HGNC:71	ABCF2	10061	ENSG00000033050
HGNC:54751	ABCF2-H2BE1	114483834	ENSG00000285292
HGNC:48841	ABCF2P1	344653	ENSG00000242159
HGNC:48842	ABCF2P2	100422059	ENSG00000228769
HGNC:72	ABCF3	55324	ENSG00000161204
HGNC:73	ABCG1	9619	ENSG00000160179
HGNC:74	ABCG2	9429	ENSG00000118777
HGNC:13884	ABCG4	64137	ENSG00000172350
HGNC:13886	ABCG5	64240	ENSG00000138075
HGNC:13887	ABCG8	64241	ENSG00000143921
HGNC:75	ABCR		
HGNC:17553	ABHD1	84696	ENSG00000143994
HGNC:18717	ABHD2	11057	ENSG00000140526
HGNC:18718	ABHD3	171586	ENSG00000158201
HGNC:20154	ABHD4	63874	ENSG00000100439
HGNC:21396	ABHD5	51099	ENSG00000011198
HGNC:21398	ABHD6	57406	ENSG00000163686
