gene_id	gene_symbol	ensembl_id	gene_title	gene_type	src	feature_space
750	GAS8-AS1	ENSG00000221819	GAS8 antisense RNA 1	ncRNA	NCBI	inferred
6315	ATXN8OS	""	ATXN8 opposite strand lncRNA	ncRNA	NCBI	inferred
7503	XIST	ENSG00000229807	X inactive specific transcript	ncRNA	NCBI	inferred
8552	INE1	ENSG00000224975	inactivation escape 1	ncRNA	NCBI	inferred
9834	FAM30A	ENSG00000226777	family with sequence similarity 30 member A	ncRNA	NCBI	inferred
10141	LINC01587	ENSG00000082929	long intergenic non-protein coding RNA 1587	ncRNA	NCBI	inferred
10255	HCG9	ENSG00000204625	HLA complex group 9	ncRNA	NCBI	inferred
10281	DSCR4	ENSG00000184029	Down syndrome critical region 4	ncRNA	NCBI	inferred
23434	LINC01565	ENSG00000198685	long intergenic non-protein coding RNA 1565	ncRNA	NCBI	inferred
23591	FAM215A	ENSG00000267496	family with sequence similarity 215 member A	ncRNA	NCBI	inferred
26082	LINC02249	ENSG00000225930	long intergenic non-protein coding RNA 2249	ncRNA	NCBI	inferred
26138	LINC00588	ENSG00000215117	long intergenic non-protein coding RNA 588	ncRNA	NCBI	inferred
27004	TCL6	""	T cell leukemia/lymphoma 6	ncRNA	NCBI	inferred
29018	FOXN3-AS2	ENSG00000259073	FOXN3 antisense RNA 2	ncRNA	NCBI	inferred
29075	LINC00652	""	long intergenic non-protein coding RNA 652	ncRNA	NCBI	inferred
51145	LOC51145	""	uncharacterized LOC51145	ncRNA	NCBI	inferred
51214	IGF2-AS	ENSG00000099869	IGF2 antisense RNA	ncRNA	NCBI	inferred
51352	WT1-AS	ENSG00000183242	WT1 antisense RNA	ncRNA	NCBI	inferred
55539	KCNQ1DN	ENSG00000237941	KCNQ1 downstream neighbor	ncRNA	NCBI	inferred
58483	LINC00474	ENSG00000204148	long intergenic non-protein coding RNA 474	ncRNA	NCBI	inferred
60467	BPESC1	ENSG00000232416	blepharophimosis, epicanthus inversus and ptosis candidate 1	ncRNA	NCBI	inferred
64595	TTTY15	ENSG00000233864	testis-specific transcript, Y-linked 15	ncRNA	NCBI	inferred
78998	RHPN1-AS1	ENSG00000254389	RHPN1 antisense RNA 1 (head to head)	ncRNA	NCBI	inferred
80069	LINC00574	ENSG00000231690	long intergenic non-protein coding RNA 574	ncRNA	NCBI	inferred
80072	HEXA-AS1	ENSG00000260339	HEXA antisense RNA 1	ncRNA	NCBI	inferred
80161	ASMTL-AS1	""	ASMTL antisense RNA 1	ncRNA	NCBI	inferred
81854	ZNF205-AS1	""	ZNF205 antisense RNA 1	ncRNA	NCBI	inferred
114044	MCM3AP-AS1	ENSG00000215424	MCM3AP antisense RNA 1	ncRNA	NCBI	inferred
284649	SMG7-AS1	ENSG00000232860	SMG7 antisense RNA 1	ncRNA	NCBI	inferred
284800	FAM182A	ENSG00000125804	family with sequence similarity 182 member A	ncRNA	NCBI	inferred
317648	NOP14-AS1	ENSG00000249673	NOP14 antisense RNA 1	ncRNA	NCBI	inferred
400084	LINC00939	ENSG00000249267	long intergenic non-protein coding RNA 939	ncRNA	NCBI	inferred
730227	LINC01136	ENSG00000233791	long intergenic non-protein coding RNA 1136	ncRNA	NCBI	inferred
100093698	GS1-600G8.3	ENSG00000231216	unknown transcript	ncRNA	NCBI	inferred
100131825	CADM3-AS1	""	CADM3 antisense RNA 1	ncRNA	NCBI	inferred
100132923	FAM66D	""	family with sequence similarity 66 member D	ncRNA	NCBI	inferred
100134713	NDUFB2-AS1	ENSG00000240889	NDUFB2 antisense RNA 1	ncRNA	NCBI	inferred
1057	CELP	ENSG00000170827	carboxyl ester lipase pseudogene	pseudo	NCBI	inferred
1556	CYP2B7P	ENSG00000256612	cytochrome P450 family 2 subfamily B member 7, pseudogene	pseudo	NCBI	inferred
1587	ADAM3A	ENSG00000197475	ADAM metallopeptidase domain 3A (pseudogene)	pseudo	NCBI	inferred
1720	DHFRP3	""	dihydrofolate reductase pseudogene 3	pseudo	NCBI	inferred
2630	GBAP1	ENSG00000160766	glucosylceramidase beta pseudogene 1	pseudo	NCBI	inferred
2974	GUCY1B2	ENSG00000123201	guanylate cyclase 1 soluble subunit beta 2 (pseudogene)	pseudo	NCBI	inferred
3044	HBBP1	""	hemoglobin subunit beta pseudogene 1	pseudo	NCBI	inferred
5301	PIN1P1	ENSG00000229359	peptidylprolyl cis/trans isomerase, NIMA-interacting 1 pseudogene 1	pseudo	NCBI	inferred
5369	PMCHL1	ENSG00000168967	pro-melanin concentrating hormone like 1 (pseudogene)	pseudo	NCBI	inferred
5383	PMS2P5	""	PMS1 homolog 2, mismatch repair system component pseudogene 5	pseudo	NCBI	inferred
5616	PRKY	ENSG00000099725	protein kinase Y-linked (pseudogene)	pseudo	NCBI	inferred
6290	SAA3P	ENSG00000166787	serum amyloid A3, pseudogene	pseudo	NCBI	inferred
7221	TRPC2	ENSG00000182048	transient receptor potential cation channel subfamily C member 2 (pseudogene)	pseudo	NCBI	inferred
8512	MBL1P	ENSG00000242600	mannose binding lectin 1, pseudogene	pseudo	NCBI	inferred
9288	TAAR3P	ENSG00000179073	trace amine associated receptor 3, pseudogene	pseudo	NCBI	inferred
9366	RAB9BP1	ENSG00000232159	RAB9B, member RAS oncogene family pseudogene 1	pseudo	NCBI	inferred
9629	CLCA3P	ENSG00000153923	chloride channel accessory 3, pseudogene	pseudo	NCBI	inferred
10151	HNRNPA3P1	""	heterogeneous nuclear ribonucleoprotein A3 pseudogene 1	pseudo	NCBI	inferred
10895	PPBPP2	ENSG00000248848	pro-platelet basic protein pseudogene 2	pseudo	NCBI	inferred
23614	PPY2P	ENSG00000265060	pancreatic polypeptide 2, pseudogene	pseudo	NCBI	inferred
23615	PYY2	ENSG00000237575	peptide YY 2 (pseudogene)	pseudo	NCBI	inferred
23629	BRD7P3	""	bromodomain containing 7 pseudogene 3	pseudo	NCBI	inferred
26184	OR1F2P	ENSG00000203581	olfactory receptor family 1 subfamily F member 2 pseudogene	pseudo	NCBI	inferred
26255	PTTG3P	ENSG00000213005	pituitary tumor-transforming 3, pseudogene	pseudo	NCBI	inferred
26583	DUX4L8	""	double homeobox 4 like 8 (pseudogene)	pseudo	NCBI	inferred
51716	CES1P1	ENSG00000228695	carboxylesterase 1 pseudogene 1	pseudo	NCBI	inferred
54718	BTN2A3P	ENSG00000124549	butyrophilin subfamily 2 member A3, pseudogene	pseudo	NCBI	inferred
55073	LRRC37A4P	""	leucine rich repeat containing 37 member A4, pseudogene	pseudo	NCBI	inferred
56969	RPL23AP32	""	ribosomal protein L23a pseudogene 32	pseudo	NCBI	inferred
79166	LILRP2	ENSG00000170858	leukocyte immunoglobulin-like receptor pseudogene 2	pseudo	NCBI	inferred
79986	ZNF702P	ENSG00000242779	zinc finger protein 702, pseudogene	pseudo	NCBI	inferred
80350	LPAL2	ENSG00000213071	lipoprotein(a) like 2, pseudogene	pseudo	NCBI	inferred
83955	NACA4P	ENSG00000228224	NACA family member 4, pseudogene	pseudo	NCBI	inferred
84820	POLR2J4	ENSG00000214783	RNA polymerase II subunit J4, pseudogene	pseudo	NCBI	inferred
90586	AOC4P	ENSG00000260105	amine oxidase copper containing 4, pseudogene	pseudo	NCBI	inferred
93164	HTR7P1	ENSG00000183935	5-hydroxytryptamine receptor 7 pseudogene 1	pseudo	NCBI	inferred
